chousonLabel,code,gunLabel
坂祝町,215015,加茂郡
富加町,215023,加茂郡
川辺町,215031,加茂郡
七宗町,215040,加茂郡
八百津町,215058,加茂郡
白川町,215066,加茂郡
東白川村,215074,加茂郡
御嵩町,215210,可児郡
白川村,216046,大野郡
東伊豆町,223018,賀茂郡
河津町,223026,賀茂郡
南伊豆町,223042,賀茂郡
松崎町,223051,賀茂郡
西伊豆町,223069,賀茂郡
函南町,223255,田方郡
清水町,223417,駿東郡
長泉町,223425,駿東郡
小山町,223441,駿東郡
吉田町,224243,榛原郡
川根本町,224294,榛原郡
森町,224618,周智郡
東郷町,233021,愛知郡
豊山町,233421,西春日井郡
大口町,233617,丹羽郡
扶桑町,233625,丹羽郡
大治町,234249,海部郡
蟹江町,234257,海部郡
飛島村,234273,海部郡
阿久比町,234419,知多郡
東浦町,234427,知多郡
南知多町,234451,知多郡
美浜町,234460,知多郡
武豊町,234478,知多郡
幸田町,235016,額田郡
設楽町,235610,北設楽郡
東栄町,235628,北設楽郡
豊根村,235636,北設楽郡
木曽岬町,243035,桑名郡
東員町,243248,員弁郡
菰野町,243418,三重郡
朝日町,243434,三重郡
川越町,243442,三重郡
多気町,244414,多気郡
明和町,244422,多気郡
大台町,244431,多気郡
玉城町,244619,度会郡
度会町,244708,度会郡
大紀町,244716,度会郡
南伊勢町,244724,度会郡
紀北町,245437,北牟婁郡
御浜町,245615,南牟婁郡
紀宝町,245623,南牟婁郡
日野町,253839,蒲生郡
竜王町,253847,蒲生郡
愛荘町,254258,愛知郡
豊郷町,254410,犬上郡
甲良町,254428,犬上郡
多賀町,254436,犬上郡
大山崎町,263036,乙訓郡
久御山町,263222,久世郡
井手町,263435,綴喜郡
宇治田原町,263443,綴喜郡
笠置町,263648,相楽郡
和束町,263656,相楽郡
精華町,263664,相楽郡
南山城村,263672,相楽郡
京丹波町,264075,船井郡
伊根町,264636,与謝郡
与謝野町,264652,与謝郡
島本町,273015,三島郡
豊能町,273210,豊能郡
能勢町,273228,豊能郡
忠岡町,273414,泉北郡
熊取町,273619,泉南郡
田尻町,273627,泉南郡
岬町,273660,泉南郡
太子町,273813,南河内郡
河南町,273821,南河内郡
千早赤阪村,273830,南河内郡
猪名川町,283011,川辺郡
多可町,283657,多可郡
稲美町,283819,加古郡
播磨町,283827,加古郡
市川町,284424,神崎郡
福崎町,284432,神崎郡
神河町,284467,神崎郡
太子町,284645,揖保郡
上郡町,284815,赤穂郡
佐用町,285013,佐用郡
香美町,285854,美方郡
新温泉町,285862,美方郡
山添村,293229,山辺郡
平群町,293423,生駒郡
三郷町,293431,生駒郡
斑鳩町,293440,生駒郡
安堵町,293458,生駒郡
川西町,293610,磯城郡
三宅町,293628,磯城郡
田原本町,293636,磯城郡
曽爾村,293857,宇陀郡
御杖村,293865,宇陀郡
高取町,294012,高市郡
明日香村,294021,高市郡
上牧町,294241,北葛城郡
王寺町,294250,北葛城郡
広陵町,294268,北葛城郡
河合町,294276,北葛城郡
吉野町,294411,吉野郡
大淀町,294420,吉野郡
下市町,294438,吉野郡
黒滝村,294446,吉野郡
天川村,294462,吉野郡
野迫川村,294471,吉野郡
十津川村,294497,吉野郡
下北山村,294501,吉野郡
上北山村,294519,吉野郡
川上村,294527,吉野郡
東吉野村,294535,吉野郡
紀美野町,303046,海草郡
かつらぎ町,303411,伊都郡
九度山町,303437,伊都郡
高野町,303445,伊都郡
湯浅町,303615,有田郡
広川町,303623,有田郡
有田川町,303666,有田郡
美浜町,303810,日高郡
日高町,303828,日高郡
由良町,303836,日高郡
印南町,303909,日高郡
みなべ町,303917,日高郡
日高川町,303925,日高郡
白浜町,304018,西牟婁郡
上富田町,304042,西牟婁郡
すさみ町,304069,西牟婁郡
那智勝浦町,304212,東牟婁郡
太地町,304221,東牟婁郡
古座川町,304247,東牟婁郡
北山村,304271,東牟婁郡
串本町,304280,東牟婁郡
岩美町,313025,岩美郡
若桜町,313254,八頭郡
智頭町,313289,八頭郡
八頭町,313297,八頭郡
三朝町,313645,東伯郡
湯梨浜町,313700,東伯郡
琴浦町,313718,東伯郡
北栄町,313726,東伯郡
日吉津村,313840,西伯郡
大山町,313866,西伯郡
南部町,313891,西伯郡
伯耆町,313904,西伯郡
日南町,314013,日野郡
日野町,314021,日野郡
江府町,314030,日野郡
奥出雲町,323438,仁多郡
飯南町,323861,飯石郡
川本町,324418,邑智郡
美郷町,324485,邑智郡
邑南町,324493,邑智郡
津和野町,325015,鹿足郡
吉賀町,325058,鹿足郡
海士町,325252,隠岐郡
西ノ島町,325261,隠岐郡
知夫村,325279,隠岐郡
隠岐の島町,325287,隠岐郡
和気町,333468,和気郡
早島町,334235,都窪郡
里庄町,334456,浅口郡
矢掛町,334618,小田郡
新庄村,335860,真庭郡
鏡野町,336068,苫田郡
勝央町,336220,勝田郡
奈義町,336238,勝田郡
西粟倉村,336432,英田郡
久米南町,336637,久米郡
美咲町,336661,久米郡
吉備中央町,336815,加賀郡
府中町,343021,安芸郡
海田町,343048,安芸郡
熊野町,343072,安芸郡
坂町,343099,安芸郡
安芸太田町,343684,山県郡
北広島町,343692,山県郡
大崎上島町,344311,豊田郡
世羅町,344621,世羅郡
神石高原町,345458,神石郡
周防大島町,353051,大島郡
和木町,353213,玖珂郡
上関町,353418,熊毛郡
田布施町,353434,熊毛郡
平生町,353442,熊毛郡
阿武町,355020,阿武郡
勝浦町,363014,勝浦郡
上勝町,363022,勝浦郡
佐那河内村,363219,名東郡
石井町,363413,名西郡
神山町,363421,名西郡
那賀町,363685,那賀郡
牟岐町,363839,海部郡
美波町,363871,海部郡
海陽町,363880,海部郡
松茂町,364011,板野郡
北島町,364029,板野郡
藍住町,364037,板野郡
板野町,364045,板野郡
上板町,364053,板野郡
つるぎ町,364681,美馬郡
東みよし町,364894,三好郡
土庄町,373222,小豆郡
小豆島町,373249,小豆郡
三木町,373419,木田郡
直島町,373648,香川郡
宇多津町,373869,綾歌郡
綾川町,373877,綾歌郡
琴平町,374032,仲多度郡
多度津町,374041,仲多度郡
まんのう町,374067,仲多度郡
上島町,383562,越智郡
久万高原町,383864,上浮穴郡
松前町,384011,伊予郡
砥部町,384020,伊予郡
内子町,384224,喜多郡
伊方町,384429,西宇和郡
松野町,384844,北宇和郡
鬼北町,384887,北宇和郡
愛南町,385069,南宇和郡
東洋町,393011,安芸郡
奈半利町,393029,安芸郡
田野町,393037,安芸郡
安田町,393045,安芸郡
